
> reservee-tn@0.1.0 dev
> next dev

▲ Next.js 16.2.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://169.254.5.162:3000
- Environments: .env.local
✓ Ready in 440ms

 GET / 200 in 796ms (next.js: 362ms, application-code: 433ms)
 GET /manifest.webmanifest 200 in 130ms (next.js: 105ms, application-code: 26ms)
 GET /api/businesses?scope=public&limit=200 500 in 1691ms (next.js: 211ms, application-code: 1480ms)
 GET /api/bookings 500 in 1692ms (next.js: 299ms, application-code: 1393ms)
 GET /account 200 in 70ms (next.js: 30ms, application-code: 39ms)
 GET /manifest.webmanifest 200 in 12ms (next.js: 5ms, application-code: 8ms)
 GET /explore 200 in 71ms (next.js: 22ms, application-code: 49ms)
 GET /manifest.webmanifest 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/auth/logout 200 in 45ms (next.js: 37ms, application-code: 8ms)
 GET /api/businesses?scope=public&limit=200 500 in 19ms (next.js: 6ms, application-code: 12ms)
 GET / 200 in 82ms (next.js: 7ms, application-code: 76ms)
 GET / 200 in 57ms (next.js: 5ms, application-code: 52ms)
 GET /manifest.webmanifest 200 in 13ms (next.js: 4ms, application-code: 8ms)
 GET /login 200 in 62ms (next.js: 26ms, application-code: 36ms)
 GET /manifest.webmanifest 200 in 10ms (next.js: 4ms, application-code: 6ms)
 POST /api/auth/login 500 in 77ms (next.js: 63ms, application-code: 14ms)
 POST /api/auth/login 500 in 13ms (next.js: 3ms, application-code: 10ms)
 POST /api/auth/login 200 in 127ms (next.js: 4ms, application-code: 122ms)
 GET /api/businesses?scope=public&limit=200 200 in 187ms (next.js: 6ms, application-code: 180ms)
 GET /api/businesses?scope=owner 200 in 191ms (next.js: 13ms, application-code: 179ms)
 GET /api/bookings 200 in 200ms (next.js: 19ms, application-code: 182ms)
 GET /api/waitlist 200 in 206ms (next.js: 77ms, application-code: 129ms)
 GET /api/activity 200 in 233ms (next.js: 124ms, application-code: 108ms)
 GET /dashboard 200 in 334ms (next.js: 42ms, application-code: 291ms)
 GET /dashboard 200 in 58ms (next.js: 9ms, application-code: 50ms)
 GET /manifest.webmanifest 200 in 10ms (next.js: 4ms, application-code: 7ms)
 GET /dashboard/services 200 in 71ms (next.js: 38ms, application-code: 32ms)
 GET /manifest.webmanifest 200 in 12ms (next.js: 6ms, application-code: 7ms)
 GET /dashboard 200 in 27ms (next.js: 4ms, application-code: 23ms)
 GET /manifest.webmanifest 200 in 9ms (next.js: 3ms, application-code: 6ms)
 GET / 200 in 29ms (next.js: 2ms, application-code: 27ms)
 GET /manifest.webmanifest 200 in 11ms (next.js: 4ms, application-code: 7ms)
 GET /explore 200 in 23ms (next.js: 3ms, application-code: 20ms)
 GET /manifest.webmanifest 200 in 11ms (next.js: 4ms, application-code: 7ms)
 GET /business/atlas-barber-club 200 in 417ms (next.js: 380ms, application-code: 37ms)
 GET /manifest.webmanifest 200 in 10ms (next.js: 5ms, application-code: 5ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-1&type=slots&date=2026-04-24 200 in 115ms (next.js: 66ms, application-code: 49ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-1&type=next 200 in 120ms (next.js: 73ms, application-code: 47ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-1&type=slots&date=2026-04-24 200 in 123ms (next.js: 81ms, application-code: 42ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-1&type=next 200 in 133ms (next.js: 87ms, application-code: 46ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=slots&date=2026-04-24 200 in 28ms (next.js: 5ms, application-code: 23ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=next 200 in 30ms (next.js: 13ms, application-code: 17ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-1&type=next 200 in 31ms (next.js: 3ms, application-code: 28ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-1&type=slots&date=2026-04-24 200 in 36ms (next.js: 13ms, application-code: 23ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=slots&date=2026-04-24 200 in 32ms (next.js: 4ms, application-code: 28ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=next 200 in 37ms (next.js: 13ms, application-code: 23ms)
 GET /book/atlas-barber-club?service=seed-svc-atlas-2 200 in 395ms (next.js: 354ms, application-code: 41ms)
 GET /manifest.webmanifest 200 in 9ms (next.js: 3ms, application-code: 5ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=slots&date=2026-04-24 200 in 24ms (next.js: 2ms, application-code: 22ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=slots&date=2026-04-24 200 in 29ms (next.js: 10ms, application-code: 18ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-1&type=slots&date=2026-04-24 200 in 11ms (next.js: 4ms, application-code: 7ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=slots&date=2026-04-24 200 in 17ms (next.js: 3ms, application-code: 15ms)
 POST /api/bookings 400 in 11ms (next.js: 2ms, application-code: 8ms)
 POST /api/bookings 400 in 8ms (next.js: 2ms, application-code: 6ms)
 POST /api/bookings 400 in 11ms (next.js: 3ms, application-code: 8ms)
✓ Compiled in 90ms
 GET /book/atlas-barber-club?service=seed-svc-atlas-2 200 in 455ms (next.js: 109ms, application-code: 347ms)
 GET /book/atlas-barber-club?service=seed-svc-atlas-2 200 in 284ms (next.js: 6ms, application-code: 278ms)
 GET /book/atlas-barber-club?service=seed-svc-atlas-2 200 in 251ms (next.js: 95ms, application-code: 156ms)
 GET /book/atlas-barber-club?service=seed-svc-atlas-2 200 in 254ms (next.js: 8ms, application-code: 247ms)
 GET /book/atlas-barber-club?service=seed-svc-atlas-2 200 in 252ms (next.js: 135ms, application-code: 117ms)
 GET /book/atlas-barber-club?service=seed-svc-atlas-2 200 in 255ms (next.js: 44ms, application-code: 211ms)
 GET /book/atlas-barber-club?service=seed-svc-atlas-2 200 in 57ms (next.js: 7ms, application-code: 50ms)
 GET /manifest.webmanifest 200 in 58ms (next.js: 47ms, application-code: 10ms)
 GET /book/atlas-barber-club?service=seed-svc-atlas-2 200 in 191ms (next.js: 103ms, application-code: 88ms)
 GET /manifest.webmanifest 200 in 68ms (next.js: 57ms, application-code: 11ms)
✓ Compiled in 64ms
 GET /book/atlas-barber-club?service=seed-svc-atlas-2 200 in 204ms (next.js: 122ms, application-code: 82ms)
 GET /manifest.webmanifest 200 in 59ms (next.js: 49ms, application-code: 10ms)
✓ Compiled in 63ms
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=slots&date=2026-04-25 200 in 182ms (next.js: 149ms, application-code: 33ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=slots&date=2026-04-25 200 in 185ms (next.js: 159ms, application-code: 26ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=slots&date=2026-04-25 200 in 186ms (next.js: 165ms, application-code: 22ms)
 GET /book/atlas-barber-club?service=seed-svc-atlas-2 200 in 449ms (next.js: 174ms, application-code: 275ms)
 GET /manifest.webmanifest 200 in 41ms (next.js: 35ms, application-code: 6ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=slots&date=2026-04-26 200 in 17ms (next.js: 2ms, application-code: 14ms)
 GET /api/availability?businessId=seed-biz-atlas&serviceId=seed-svc-atlas-2&type=slots&date=2026-04-25 200 in 14ms (next.js: 4ms, application-code: 10ms)
 POST /api/bookings 201 in 193ms (next.js: 139ms, application-code: 54ms)
 GET /api/businesses?scope=public&limit=200 200 in 315ms (next.js: 119ms, application-code: 196ms)
 GET /api/businesses?scope=owner 200 in 319ms (next.js: 126ms, application-code: 193ms)
 GET /api/bookings 200 in 325ms (next.js: 129ms, application-code: 196ms)
 GET /api/waitlist 200 in 203ms (next.js: 89ms, application-code: 114ms)
 GET /api/activity 200 in 206ms (next.js: 171ms, application-code: 35ms)
